shapeid,partid,x,y,fid,ScatterPoint
"715",,125.192707082217,32.1148144593198,"716",54
"716",,125.195409229252,32.1147982302085,"717",53
"717",,125.196439777822,32.1137676816394,"718",53
"718",,125.194054098457,32.113824483529,"719",54
"719",,125.192885602441,32.1128101640712,"720",53
"720",,125.195474145698,32.1127127894033,"721",53
"721",,125.196520923378,32.1116092098332,"722",53
"722",,125.194297535127,32.1116741262785,"723",53
"723",,125.191733335537,32.1116741262785,"724",54
"724",,125.195514718476,32.1105543175971,"725",53
"725",,125.196545267045,32.1094345089157,"726",53
"726",,125.193137153667,32.1106273485981,"727",53
"727",,125.194321878794,32.109523769028,"728",53
"728",,125.195539062143,32.1084364185693,"729",53
"729",,125.19335624667,32.1084120749023,"730",53
"730",,125.191976772207,32.1093614779148,"731",53
"731",,125.191311378643,32.1157314041096,"732",54
"732",,125.190126653516,32.1148550320981,"733",54
"733",,125.188576773385,32.1156908313313,"734",54
"734",,125.187367704591,32.1149118339877,"735",54
"735",,125.185663647902,32.115625914886,"736",54
"736",,125.191506127979,32.1138082544177,"737",54
"737",,125.188901355611,32.113824483529,"738",54
"738",,125.186515676247,32.113800139862,"739",53
"739",,125.184560068332,32.1149280630991,"740",53
"740",,125.183748612766,32.1137920253063,"741",52
"741",,125.183286083093,32.1128994241835,"742",52
"742",,125.185355294787,32.1134187557459,"743",51
"743",,125.184446464553,32.1134187557459,"744",48
"744",,125.190491808521,32.1127290185146,"745",54
"745",,125.187757203263,32.112623529291,"746",54
"746",,125.185606846012,32.1123314052871,"747",52
"747",,125.184259829772,32.1115848661662,"748",54
"748",,125.186661738249,32.1115524079436,"749",54
"749",,125.189193479615,32.1116903553898,"750",54
"750",,125.190613526856,32.1105380884858,"751",53
"751",,125.190946223638,32.1084283040136,"752",53
"752",,125.189477489063,32.1094182798044,"753",54
"753",,125.188106129156,32.1105948903754,"754",53
"754",,125.185420211232,32.1102784227046,"755",54
"755",,125.186848373029,32.1093614779148,"756",53
"756",,125.1880249836,32.1084688767919,"757",53
"757",,125.184089424104,32.1097672056979,"758",53
"758",,125.185322836564,32.1084120749023,"759",53
"759",,125.183545748874,32.1086960843505,"760",53
"760",,125.181508995403,32.1164698286749,"761",53
"761",,125.182864126199,32.1158206642219,"762",53
"762",,125.182774866086,32.1146927409849,"763",53
"763",,125.18061639428,32.1163724540069,"764",45
"764",,125.181216871399,32.1159018097785,"765",45
"765",,125.182174388967,32.1153419054378,"766",46
"766",,125.180835487283,32.115074125101,"767",48
"767",,125.179877969715,32.1154555092171,"768",46
"768",,125.180794914505,32.114424960648,"769",53
"769",,125.17902594137,32.1158693515559,"770",52
"770",,125.178758161034,32.1162182774494,"771",47
"771",,125.177573435907,32.1164292558966,"772",50
"772",,125.175974868441,32.1164779432305,"773",53
"773",,125.17711902079,32.1157476332209,"774",51
"774",,125.175009236318,32.1155447693294,"775",53
"775",,125.176315679779,32.1145791372056,"776",53
"776",,125.178774390145,32.1144817625376,"777",54
"777",,125.178668900921,32.1154311655501,"778",48
"778",,125.175163412875,32.1134836721912,"779",53
"779",,125.177784414354,32.1135161304138,"780",51
"780",,125.17981305327,32.1133051519666,"781",52
"781",,125.180957205618,32.1135485886365,"782",49
"782",,125.181703744739,32.1135242449695,"783",52
"783",,125.182507085749,32.1139462018639,"784",47
"784",,125.182718064197,32.1126397584023,"785",48
"785",,125.181809233963,32.1122096869522,"786",52
"786",,125.181119496731,32.112623529291,"787",48
"787",,125.182344794636,32.1114956060539,"788",46
"788",,125.180965320174,32.1116741262785,"789",49
"789",,125.182985844534,32.1108788998236,"790",54
"790",,125.181752432073,32.1109275871576,"791",53
"791",,125.180876060061,32.110749066933,"792",48
"792",,125.179829282381,32.1105380884858,"793",50
"793",,125.180437874056,32.1102865372603,"794",54
"794",,125.178855535701,32.1123638635098,"795",53
"795",,125.176486085448,32.1124125508438,"796",53
"796",,125.177540977684,32.1113820022747,"797",53
"797",,125.175325703988,32.1113901168303,"798",53
"798",,125.179926657049,32.1113657731633,"799",52
"799",,125.176526658226,32.1104082555952,"800",53
"800",,125.178879879368,32.1104325992622,"801",51
"801",,125.17558536977,32.1092154159128,"802",53
"802",,125.17767892513,32.109621143696,"803",52
"803",,125.179285607152,32.1093695924704,"804",53
"804",,125.182028326965,32.1096454873629,"805",54
"805",,125.180648852503,32.1085500223485,"806",54
"806",,125.178498495252,32.1091667285789,"807",50
"807",,125.177451717572,32.1085256786816,"808",51
"808",,125.173832625747,32.1163805685626,"809",53
"809",,125.171657924829,32.1163318812286,"810",53
"810",,125.169604942247,32.116323766673,"811",52
"811",,125.170505657925,32.1153743636605,"812",52
"812",,125.172802077177,32.1154230509945,"813",53
"813",,125.174051718749,32.1144898770933,"814",53
"814",,125.171536206494,32.1144330752037,"815",52
"815",,125.169515682134,32.1143519296471,"816",52
"816",,125.170586803482,32.1133700684119,"817",52
"817",,125.172850764511,32.1133781829676,"818",52
"818",,125.174165322529,32.1124287799551,"819",53
"819",,125.171511862827,32.1123557489542,"820",52
"820",,125.172931910068,32.1113414294964,"821",52
"821",,125.170270335811,32.1113292576629,"822",52
"822",,125.17418155164,32.1103230527608,"823",53
"823",,125.174311384531,32.1084242467358,"824",52
"824",,125.172875108178,32.1093574206369,"825",52
"825",,125.17148751916,32.1103149382051,"826",52
"826",,125.171649810273,32.1084080176245,"827",52
"827",,125.170400168701,32.1092519314133,"828",51
"828",,125.169231672686,32.1084485904028,"829",51
"829",,125.167746709,32.10933307697,"830",51
"830",,125.169061267017,32.1104528856513,"831",51
"831",,125.167762938111,32.1115645797771,"832",51
"832",,125.169199214463,32.1125139827896,"833",52
"833",,125.16799014567,32.1133741256898,"834",51
"834",,125.166805420543,32.1144046742589,"835",51
"835",,125.16823358234,32.1154433373836,"836",52
"836",,125.167194919215,32.116611833399,"837",51
"837",,125.165774871974,32.1154271082723,"838",51
"838",,125.164387282956,32.1158490651667,"839",50
"839",,125.163064610383,32.1154514519393,"840",50
"840",,125.160224515901,32.1156543158308,"841",49
"841",,125.161539073918,32.1145994235947,"842",50
"842",,125.164022127951,32.114209924923,"843",50
"843",,125.165628809972,32.1134552712464,"844",51
"844",,125.160232630457,32.1132929801331,"845",49
"845",,125.162650768044,32.1134228130237,"846",50
"846",,125.164500886735,32.1127087321254,"847",50
"847",,125.166578212985,32.1125139827895,"848",51
